id,category,question,answer
164,use_cases,Can you share a customer story for telecom founders?,"Several telecom customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/telecom."
165,integrations,Is the Dialpad integration on every plan?,Dialpad is available on the Growth plan and above. Some advanced field mappings and webhook hooks require Pro.
166,use_cases,How do customer success teams in fintech use Bellrock CRM?,"Customer success teams at fintech companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. fintech-specific pipeline templates ship in the marketplace."
167,api,What's the rate limit on /users?,"API endpoints share a per-token rate limit of 100 req/min on Growth, 500 on Pro and 2000 on Enterprise. /users respects this shared limit."
168,integrations,Does Bellrock CRM integrate with Dialpad?,Yes. The Dialpad integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
169,api,Does /notes support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /notes. Responses include `next_cursor` in the envelope when more results are available.
170,integrations,Does Bellrock CRM integrate with BambooHR?,Yes. The BambooHR integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
171,integrations,Where do I troubleshoot Twilio sync errors?,Settings → Integrations → Twilio → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Twilio side.
172,api,Are there webhooks for /users events?,"Yes — every create, update and delete on /users can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
173,use_cases,Is Bellrock CRM a good fit for fintech marketing managers?,"Bellrock CRM is widely used by marketing managers in fintech. Common reasons cited are the fintech field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
174,use_cases,How do sales reps in media use Bellrock CRM?,"Sales reps at media companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. media-specific pipeline templates ship in the marketplace."
175,troubleshooting,How do I fix 'imported CSV not appearing'?,"If you're hitting 'imported CSV not appearing', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
176,troubleshooting,I'm seeing 'MFA reset' — what should I do?,"If you're hitting 'MFA reset', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
177,use_cases,Can you share a customer story for manufacturing RevOps leaders?,"Several manufacturing customers run their full revenue cycle on Bellrock CRM. A typical RevOps leaders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/manufacturing."
178,use_cases,Can you share a customer story for SaaS founders?,"Several SaaS customers run their full revenue cycle on Bellrock CRM. A typical founders success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/SaaS."
179,integrations,How do I connect PandaDoc to Bellrock CRM?,Go to Settings → Integrations → PandaDoc → Connect. Sign in with an admin account on PandaDoc and authorize the OAuth scopes. Initial sync takes 5–15 minutes.
180,misc,Do you offer a service level agreement?,Pro plans include a 99.9% SLA; Enterprise contracts include a 99.95% SLA with service credits for missed targets.
181,use_cases,Can you share a customer story for education marketing managers?,"Several education customers run their full revenue cycle on Bellrock CRM. A typical marketing managers success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/education."
182,features,Does cadence sequences support custom fields?,"Yes. Bellrock CRM's cadence sequences reads any custom field on the Contact, Lead or Deal object, including formula and rollup fields."
